subtype,common_division_name,COMMON.DIVISION.NAME
Anthozoan,Anthozoa,Anthozoa
Bivalve,Bivalves,Bivalves
Brown Algal Crust,Brown Algal Crust,NA
Bryozoan,Bryozoans,Bryozoans
Collembola,Collembola,NA
Crustacean,Crustaceans,Crustaceans
Erect Brown Alage,Erect Brown Alage,NA
Erect Red Algae,Erect Red Algae,Erect Red Algae
Fungi,Fungi,NA
Gastropod,Gastropods,Gastropods
Green Algae,Green Algae,Green Algae
Hydrozoan,Hydrozoa,NA
Polyplacophora,Polyplacophora,NA
Red Algal Crust,Red Algal Crusts,Red Algal Crusts
Sea Star,Sea Stars,Sea Stars
Sponge,Sponges,Sponges
Tunicate,Tunicates,Tunicates
Urchin,Urchins,Urchins
Worm,Worms,NA
NA,Erect Brown Algae,Brown Algae
NA,Fish,Fish
NA,Medusozoa,Medusozoa
NA,Sea Cucumbers,Sea Cucumbers
